Manufacturer,Machine Model,Machinery Category,Engine Capacity (L),Engine Cylinders,Transmission Type,Fuel Category,Fuel Consumption (Load Condition) (L/100 hr),Fuel Consumption (No-Load Condition) (L/100 hr),Average Fuel Consumption (L/100 hr),Average Fuel Efficiency (hrg),CO2 Emissions (g/hr),CO2 Emissions Level
Chevrolet Engineering Works,TAXX,Small Utility Vehicle,1.4,4,M6,X,9.2,7.1,8.2,34,194,low
Honda Heavy Industries,RDED,Standard Transport Machinery,3.5,6,AS9,X,12.6,10.0,11.4,25,269,high
Bauer Machinery Works,40_E,Compact Utility Equipment,2.0,4,AS8,Z,10.5,7.4,9.1,31,213,medium
Korea Industrial Apparatus,FREE,Mid-Sized Utility Machines,2.0,4,A6,X,9.8,6.6,8.4,34,193,low
General Manufacturing Corporation,SERA,Standard Transport Machinery,4.3,6,A6,E,19.3,14.3,17.1,17,274,high
Volkswaren Machine Systems,PSAT,Mid-Sized Utility Machines,2.0,4,AS6,X,9.3,6.5,8.1,35,188,low
Ford Industrial Corp.,EPOV,Standard Utility Vehicle,3.5,6,AS6,E,18.7,12.9,16.1,18,264,high
Porsche Engineering Works,91TS,Mini Utility Equipment,3.0,6,AM7,Z,11.1,8.6,10.0,28,233,medium
Dodge Equipment Ltd.,VPRR,Small-Scale Operator Machinery,8.4,10,M6,Z,19.9,12.6,16.6,17,387,high
Dodge Equipment Ltd.,DRND,Standard Utility Vehicle,3.6,6,A8,X,12.7,9.6,11.3,25,265,high
Maserat Engineering Ltd.,QAT4,Heavy-Duty Utility Machinery,3.0,6,AS8,Z,15.7,9.7,13.0,22,299,high
Dodge Equipment Ltd.,JUND,Small Utility Vehicle,3.6,6,A6,X,14.5,9.9,12.4,23,285,high
Lexus Engineering,R_5D,Small Utility Vehicle,3.5,6,AS8,X,13.1,9.4,11.1,25,268,high
Chevrolet Engineering Works,SLES,Standard Transport Machinery,4.3,6,A6,X,16.3,12.9,14.8,19,347,high
Ford Industrial Corp.,EPD4,Standard Utility Vehicle,3.5,6,AS6,X,16.4,12.1,14.4,20,338,high
Volvo Industrial Solutions,X7_D,Small Utility Vehicle,2.5,5,AS6,X,12.5,9.2,11.0,26,254,high
Mini Industrial Tools,COER,Subcompact Utility Machinery,1.5,3,M6,Z,8.5,6.2,7.5,38,175,low
Lexus Engineering,R_5D,Subcompact Utility Machinery,3.5,6,AS6,Z,13.1,9.8,11.2,25,262,high
Honda Heavy Industries,CVCE,Compact Utility Equipment,1.5,4,AV,X,7.5,5.6,6.7,42,155,low
Bauer Machinery Works,MM33,Compact Utility Equipment,3.0,6,AM7,Z,13.5,9.9,11.9,24,280,high
Porsche Engineering Works,91G3,Small-Scale Operator Machinery,4.0,6,M6,Z,18.0,11.5,15.1,19,352,high
Lincoln Manufacturing,NVG4,Standard Utility Vehicle,3.5,6,AS10,X,15.0,11.4,13.4,21,314,high
Jaguar Industrial Machines,X_5D,Mid-Sized Utility Machines,2.0,4,AS8,Z,10.1,7.2,8.8,32,207,medium
Bauer Machinery Works,X_DI,Small Utility Vehicle,3.0,6,AS8,Z,12.7,8.8,10.9,26,251,high
Volkswaren Machine Systems,BELE,Subcompact Utility Machinery,2.0,4,AM6,Z,10.3,8.2,9.4,30,216,medium
Subaru Heavy Machinery,BZZZ,Mini Utility Equipment,2.0,4,M6,Z,11.2,8.1,9.8,29,229,medium
Subaru Heavy Machinery,OTAD,Small Utility Vehicle,2.5,4,AV,X,9.9,7.8,9.0,31,207,medium
Land Rover Machinery Co.,RNEB,Standard Utility Vehicle,5.0,8,AS8,Z,17.9,12.7,15.5,18,365,high
Ford Industrial Corp.,TUUD,Heavy-Duty Utility Machinery,3.5,6,AS6,E,18.8,12.6,16.0,18,256,high
Audi Industrial Equipment,A_UO,Subcompact Utility Machinery,2.0,4,AS8,Z,11.0,7.8,9.6,29,221,medium
Land Rover Machinery Co.,RNE0,Standard Utility Vehicle,3.0,6,AS8,Z,12.2,9.4,11.0,26,258,high
Toyota Heavy Machinery,CRLA,Mid-Sized Utility Machines,1.8,4,A4,X,8.6,6.5,7.7,37,177,low
Honda Heavy Industries,C-VV,Small Utility Vehicle,1.5,4,AV,X,8.4,7.0,7.8,36,181,low
Chevrolet Engineering Works,TAEE,Standard Utility Vehicle,3.6,6,A9,X,13.0,8.8,11.1,25,261,high
Volvo Industrial Solutions,V0CC,Small Utility Vehicle,2.0,4,AS8,X,9.8,7.6,8.8,32,202,medium
Lexus Engineering,R_5D,Small Utility Vehicle,3.5,6,AS8,X,12.2,9.0,10.8,26,252,high
Porsche Engineering Works,CYNE,Standard Utility Vehicle,3.6,6,A8,Z,14.1,10.2,12.4,23,290,high
Dodge Equipment Ltd.,JUNY,Small Utility Vehicle,2.4,4,A4,X,12.7,9.2,11.1,25,261,high
Ram Industrial Equipment,10_E,Standard Transport Machinery,5.7,8,A8,X,14.1,10.3,12.4,23,290,high
Lexus Engineering,G_5D,Mid-Sized Utility Machines,3.5,6,AS6,Z,12.6,9.1,11.0,26,253,high
Toyota Heavy Machinery,4UN),Standard Utility Vehicle,4.0,6,AS5,X,14.3,11.9,13.2,21,308,high
Subaru Heavy Machinery,X_RD,Small Utility Vehicle,2.0,4,M5,X,10.2,7.7,9.1,31,209,medium
Bauer Machinery Works,60_E,Compact Utility Equipment,4.4,8,A8,Z,15.0,9.8,12.7,22,292,high
General Manufacturing Corporation,SVND,Cargo Transport Equipment,5.3,8,A4,X,18.3,14.2,16.5,17,380,high
Maserat Engineering Ltd.,QATS,Heavy-Duty Utility Machinery,3.8,8,AS8,Z,16.1,10.8,13.7,21,321,high
Maserat Engineering Ltd.,GIL4,Mid-Sized Utility Machines,3.0,6,AS8,Z,14.7,9.9,12.6,22,295,high
Audi Industrial Equipment,ALT),Heavy-Duty Utility Machinery,3.0,6,AS8,D,9.8,6.5,8.4,34,224,medium
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,3.0,6,AS8,Z,11.9,8.5,10.4,27,242,medium
Audi Industrial Equipment,S555,Small Utility Vehicle,3.0,6,AS8,Z,14.1,9.9,12.2,23,281,high
Audi Industrial Equipment,A_LO,Small-Scale Transport Machinery,2.0,4,AM7,Z,10.0,7.4,8.8,32,206,medium
Acura Manufacturing,RXHD,Mid-Sized Utility Machines,3.5,6,AM7,Z,8.0,7.5,7.7,37,180,low
Porsche Engineering Works,91TS,Mini Utility Equipment,3.0,6,AM7,Z,12.1,9.2,10.8,26,251,high
Chevrolet Engineering Works,CUEO,Mid-Sized Utility Machines,1.4,4,A6,X,9.1,6.0,7.7,37,177,low
Chevrolet Engineering Works,CRE6,Small-Scale Operator Machinery,6.2,8,AS8,Z,17.6,10.3,14.3,20,336,high
Hyundai Manufacturing Solutions,VLSO,Compact Utility Equipment,1.6,4,M6,X,9.4,7.0,8.3,34,197,low
Jaguar Industrial Machines,FTPC,Small-Scale Operator Machinery,3.0,6,AS8,Z,12.4,8.8,10.8,26,253,high
Audi Industrial Equipment,RR88,Small-Scale Operator Machinery,4.2,8,AM7,Z,17.3,10.4,14.2,20,327,high
Chevrolet Engineering Works,SBRV,Standard Utility Vehicle,5.3,8,A6,X,15.1,10.4,13.0,22,305,high
Rolls-Royce Engineering,PATM,Heavy-Duty Utility Machinery,6.7,12,A8,Z,20.7,12.8,17.1,17,393,high
Toyota Heavy Machinery,AAON,Mid-Sized Utility Machines,3.5,6,AS8,X,10.9,7.6,9.4,30,220,medium
Chevrolet Engineering Works,EUND,Small Utility Vehicle,2.4,4,A6,X,11.5,8.2,10.0,28,230,medium
Dodge Equipment Ltd.,CAGV,Heavy-Duty Utility Machinery,3.6,6,A5,E,18.3,12.6,15.7,18,251,high
Nissan Machinery Ltd.,30_R,Small-Scale Operator Machinery,3.7,6,AS7,Z,13.1,9.6,11.5,25,270,high
Bauer Machinery Works,58_N,Mid-Sized Utility Machines,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,medium
Chevrolet Engineering Works,CUEE,Compact Utility Equipment,1.4,4,AS6,X,8.0,5.9,7.1,40,166,low
Hyundai Manufacturing Solutions,TCON,Small Utility Vehicle,2.0,4,AS6,X,10.1,7.8,9.0,31,213,medium
Mini Industrial Tools,COER,Small-Scale Operator Machinery,1.6,4,M6,Z,9.1,6.8,8.1,35,186,low
Nissan Machinery Ltd.,FOTR,Light-Duty Transport Machinery,2.5,4,A5,X,13.7,10.6,12.3,23,283,high
Mercedes Industrial Solutions,AGET,Subcompact Utility Machinery,3.0,6,A9,Z,12.5,9.0,10.9,26,245,medium
Ford Industrial Corp.,EG_D,Small Utility Vehicle,2.7,6,AS6,X,13.6,9.8,11.9,24,274,high
Chrysler Engineering,30A),Heavy-Duty Utility Machinery,5.7,8,A5,X,16.1,10.0,13.4,21,308,high
Toyota Heavy Machinery,PISS,Mid-Sized Utility Machines,1.8,4,AV,X,4.4,4.6,4.5,63,104,very low
Ford Industrial Corp.,F10V,Standard Transport Machinery,5.0,8,AS6,X,16.4,12.3,14.6,19,336,high
Nissan Machinery Ltd.,PTFD,Small Utility Vehicle,3.5,6,AV,X,12.3,9.3,11.0,26,253,high
General Manufacturing Corporation,YKND,Standard Utility Vehicle,5.3,8,A6,X,15.2,10.8,13.2,21,310,high
Mercedes Industrial Solutions,S_50,Small-Scale Operator Machinery,4.7,8,AS7,Z,13.4,9.6,11.7,24,269,high
Bauer Machinery Works,38_G,Small-Scale Transport Machinery,2.0,4,A8,Z,10.6,7.2,9.1,31,209,medium
Porsche Engineering Works,CYAS,Small-Scale Operator Machinery,2.5,4,AM7,Z,11.8,9.2,10.6,27,249,medium
General Manufacturing Corporation,YKNV,Standard Utility Vehicle,5.3,8,A6,E,20.8,14.5,18.0,16,299,high
Jeep Engineering Co.,WAG4,Small Utility Vehicle,3.6,6,M6,X,14.2,11.0,12.8,22,298,high
Porsche Engineering Works,CYNS,Standard Utility Vehicle,4.8,8,A8,Z,16.9,11.2,14.3,20,336,high
Chevrolet Engineering Works,SNC5,Small-Scale Transport Machinery,1.8,4,AS6,X,9.6,6.7,8.3,34,195,low
Ford Industrial Corp.,FCSV,Compact Utility Equipment,2.0,4,M5,E,12.4,9.1,10.9,26,174,low
Toyota Heavy Machinery,4UND,Standard Utility Vehicle,4.0,6,AS5,X,14.3,11.9,13.2,21,308,high
Chevrolet Engineering Works,SLEV,Standard Transport Machinery,5.3,8,A6,E,22.0,16.1,19.3,15,322,high
Volvo Industrial Solutions,X6_D,Small Utility Vehicle,2.0,4,AS8,Z,11.2,8.3,9.9,29,232,medium
Volkswaren Machine Systems,PSAT,Mid-Sized Utility Machines,1.8,4,M6,X,9.5,6.4,8.1,35,189,low
Chevrolet Engineering Works,SLEV,Standard Transport Machinery,4.3,6,A6,E,20.2,15.2,18.0,16,294,high
Subaru Heavy Machinery,COSD,Small Utility Vehicle,2.0,4,AV7,X,8.8,7.2,8.1,35,188,low
Mercedes Industrial Solutions,SK30,Small-Scale Operator Machinery,3.5,6,AS7,Z,11.1,8.1,9.8,29,225,medium
Bauer Machinery Works,40_E,Compact Utility Equipment,3.0,6,AS8,Z,11.1,7.8,9.6,29,224,medium
Korea Industrial Apparatus,SULL,Small-Scale Transport Machinery,1.6,4,AS6,X,9.8,7.8,8.9,32,205,medium
Dodge Equipment Ltd.,CAGV,Heavy-Duty Utility Machinery,3.6,6,A5,X,13.7,8.9,11.5,25,271,high
Lexus Engineering,G_60,Standard Utility Vehicle,4.6,8,AS6,Z,15.7,11.7,13.9,20,322,high
Fiat Industrial Equipment,50CO,Mini Utility Equipment,1.4,4,M5,X,7.9,6.3,7.2,39,166,low
Bauer Machinery Works,X_DI,Small Utility Vehicle,2.0,4,AS8,Z,10.3,7.7,9.1,31,213,medium
Buick Heavy Industries,LCOD,Mid-Sized Utility Machines,3.6,6,AS8,X,11.6,8.1,10.0,28,235,medium
Scion Tech Industries,XXBB,Small-Scale Transport Machinery,2.4,4,AS4,X,10.9,8.5,9.8,29,225,medium
Porsche Engineering Works,91TO,Mini Utility Equipment,3.8,6,AM7,Z,12.6,9.9,11.4,25,266,high
Bauer Machinery Works,X_4I,Small Utility Vehicle,3.0,6,AS8,Z,12.8,9.5,11.3,25,264,high
Ford Industrial Corp.,FSON,Mid-Sized Utility Machines,1.5,4,AS6,X,9.9,6.5,8.4,34,197,low
General Manufacturing Corporation,SERV,Standard Transport Machinery,5.3,8,A6,E,19.9,14.0,17.2,16,286,high
Ford Industrial Corp.,MSAG,Subcompact Utility Machinery,5.0,8,AS6,X,14.9,9.5,12.4,23,285,high
Acura Manufacturing,RXAD,Small Utility Vehicle,3.5,6,AS6,Z,12.4,8.7,10.7,26,250,medium
Mercedes Industrial Solutions,G500,Standard Utility Vehicle,4.0,8,A9,Z,18.0,14.1,16.3,17,378,high
Volvo Industrial Solutions,X9_D,Standard Utility Vehicle,2.0,4,AS8,Z,11.2,8.3,9.9,29,232,medium
Jeep Engineering Co.,NWW4,Small Utility Vehicle,2.0,4,A8,X,10.9,10.0,10.5,27,245,medium
Honda Heavy Industries,FTTT,Small-Scale Transport Machinery,1.5,4,AV7,X,7.3,6.1,6.8,42,156,low
Mazda Manufacturing Corp.,MZA5,Compact Transport Equipment,2.5,4,AS5,X,10.8,8.3,9.7,29,226,medium
Mini Industrial Tools,JH_4,Compact Utility Equipment,1.6,4,AS6,Z,10.1,7.8,9.0,31,207,medium
Ford Industrial Corp.,FSOD,Mid-Sized Utility Machines,2.0,4,AV,X,5.3,5.7,5.5,51,126,very low
Chevrolet Engineering Works,SBRD,Standard Utility Vehicle,5.3,8,A6,X,15.4,10.8,13.3,21,312,high
Buick Heavy Industries,EVSD,Small Utility Vehicle,2.0,4,A9,Z,11.7,9.4,10.7,26,249,medium
Dodge Equipment Ltd.,DR_O,Mid-Sized Utility Machines,1.4,4,M6,X,8.5,5.8,7.3,39,171,low
Buick Heavy Industries,RGLD,Mid-Sized Utility Machines,3.6,6,AS9,X,12.4,8.7,10.7,26,251,high
Ford Industrial Corp.,TASN,Specialized Industrial Machinery,2.5,4,AS6,X,11.9,8.5,10.4,27,239,medium
Cadillac Engineering Solutions,C6AD,Heavy-Duty Utility Machinery,3.6,6,AS8,X,12.8,8.8,11.0,26,259,high
Bauer Machinery Works,M_EN,Compact Utility Equipment,3.0,6,M6,Z,13.7,9.0,11.6,24,267,high
Mercedes Industrial Solutions,GK3C,Small Utility Vehicle,3.5,6,AS7,Z,12.6,9.6,11.3,25,260,high
Toyota Heavy Machinery,HGLR,Small Utility Vehicle,3.5,6,AS8,X,11.8,8.7,10.3,27,243,medium
Audi Industrial Equipment,A_UO,Subcompact Utility Machinery,2.0,4,M6,Z,9.9,7.1,8.7,32,204,medium
Chevrolet Engineering Works,CMRS,Subcompact Utility Machinery,6.2,8,M6,Z,14.9,9.9,12.6,22,297,high
General Manufacturing Corporation,YKND,Standard Utility Vehicle,5.3,8,A6,E,20.5,14.0,17.6,16,282,high
Lexus Engineering,R_0D,Subcompact Utility Machinery,3.5,6,AS6,Z,13.1,9.8,11.2,25,262,high
Toyota Heavy Machinery,RV_D,Small Utility Vehicle,2.5,4,AV,X,5.7,6.3,6.0,47,139,very low
Porsche Engineering Works,91G3,Small-Scale Operator Machinery,3.8,6,AM7,Z,16.0,11.5,14.0,20,329,high
General Manufacturing Corporation,CNOD,Light-Duty Transport Machinery,3.6,6,A8,X,14.1,10.0,12.2,23,288,high
Mazda Manufacturing Corp.,MZA),Mid-Sized Utility Machines,2.5,4,AS6,X,8.7,6.6,7.8,36,181,low
Porsche Engineering Works,91CT,Mini Utility Equipment,3.0,6,M7,Z,12.9,9.1,11.1,25,260,high
Ford Industrial Corp.,F104,Standard Transport Machinery,5.0,8,AS10,X,14.6,10.9,13.0,22,304,high
Honda Heavy Industries,CVCN,Mid-Sized Utility Machines,2.0,4,AV,X,7.8,6.0,7.0,40,163,low
Mercedes Industrial Solutions,AGCE,Subcompact Utility Machinery,4.0,8,AS7,Z,13.8,10.1,12.1,23,285,high
Honda Heavy Industries,CVCI,Compact Utility Equipment,1.5,4,M6,Z,8.9,6.4,7.8,36,183,low
Mercedes Industrial Solutions,AGSE,Compact Utility Equipment,6.0,12,AS7,Z,18.0,11.3,15.0,19,355,high
Ford Industrial Corp.,FE_D,Standard Utility Vehicle,3.5,6,AS6,X,14.7,10.7,12.9,22,303,high
Mini Industrial Tools,COER,Subcompact Utility Machinery,1.5,3,AS6,Z,8.7,6.6,7.7,37,181,low
Nissan Machinery Ltd.,MXMA,Mid-Sized Utility Machines,3.5,6,AV,Z,12.3,9.1,10.9,26,251,high
Bauer Machinery Works,48_E,Compact Utility Equipment,2.0,4,AS8,Z,10.5,6.9,8.9,32,209,medium
Jeep Engineering Co.,CEOE,Small Utility Vehicle,3.2,6,A9,X,11.9,8.2,10.2,28,240,medium
Mazda Manufacturing Corp.,C-_D,Small Utility Vehicle,2.5,4,AS6,X,10.8,8.7,9.8,29,230,medium
Lexus Engineering,N_0D,Small Utility Vehicle,2.0,4,AS6,Z,10.6,8.5,9.7,29,226,medium
Chevrolet Engineering Works,SLED,Standard Transport Machinery,4.3,6,A6,X,15.7,12.0,14.1,20,331,high
Audi Industrial Equipment,TSRO,Small-Scale Operator Machinery,2.0,4,AM6,Z,11.7,8.5,10.2,28,235,medium
Volvo Industrial Solutions,X6_D,Small Utility Vehicle,2.0,4,AS8,Z,11.3,8.5,10.0,28,233,medium
Ford Industrial Corp.,MSAG,Subcompact Utility Machinery,3.7,6,M6,X,12.7,8.1,10.6,27,244,medium
Korea Industrial Apparatus,SRNE,Small Utility Vehicle,3.3,6,AS6,X,13.2,9.3,11.4,25,270,high
Mitsubishi Industrial Equipment,MRGE,Compact Utility Equipment,1.2,3,AV,X,6.4,5.4,6.0,47,138,very low
Audi Industrial Equipment,Q_UO,Compact Utility Equipment,2.0,4,AS6,Z,11.9,8.4,10.3,27,240,medium
Buick Heavy Industries,ECRD,Small Utility Vehicle,1.3,3,A9,X,9.0,8.0,8.5,33,199,low
Ford Industrial Corp.,FE_D,Standard Utility Vehicle,3.5,6,AS6,X,13.7,10.1,12.1,23,278,high
Bauer Machinery Works,M_OE,Compact Utility Equipment,3.0,6,M6,Z,13.7,9.0,11.6,24,267,high
Nissan Machinery Ltd.,30_R,Small-Scale Operator Machinery,3.7,6,M6,Z,13.6,9.7,11.8,24,279,high
Lexus Engineering,G_5D,Mid-Sized Utility Machines,3.5,6,AS6,Z,12.3,9.1,10.9,26,254,high
Chevrolet Engineering Works,SLEO,Standard Transport Machinery,5.3,8,A8,X,15.2,10.7,13.1,22,309,high
Mercedes Industrial Solutions,E6_N,Mid-Sized Transport Machinery,5.5,8,AS7,Z,15.5,11.0,13.5,21,310,high
Land Rover Machinery Co.,RNEB,Standard Utility Vehicle,5.0,8,AS8,Z,14.4,11.3,13.0,22,305,high
Infiniti Machine Works,Q000,Subcompact Utility Machinery,3.7,6,AS7,Z,12.4,8.7,10.7,26,246,medium
Chrysler Engineering,3000,Heavy-Duty Utility Machinery,3.6,6,A8,X,12.4,7.8,10.3,27,242,medium
Dodge Equipment Ltd.,CAGD,Heavy-Duty Utility Machinery,5.7,8,A5,X,16.0,10.1,13.3,21,312,high
Toyota Heavy Machinery,CRLA,Mid-Sized Utility Machines,1.8,4,A4,X,8.6,6.5,7.6,37,179,low
Bauer Machinery Works,70IE,Heavy-Duty Utility Machinery,3.0,6,AS8,Z,11.9,8.1,10.2,28,238,medium
Honda Heavy Industries,RDED,Standard Transport Machinery,3.5,6,A6,X,12.8,9.5,11.3,25,263,high
Toyota Heavy Machinery,HGLE,Standard Utility Vehicle,3.5,6,AV6,X,7.9,8.6,8.2,34,189,low
Mercedes Industrial Solutions,E30C,Mid-Sized Utility Machines,3.5,6,AS7,Z,11.9,8.2,10.2,28,235,medium
General Manufacturing Corporation,YKNL,Standard Utility Vehicle,5.3,8,A6,X,15.1,10.4,13.0,22,305,high
Chevrolet Engineering Works,CREE,Small-Scale Operator Machinery,6.2,8,M7,Z,13.7,8.2,11.2,25,258,high
Jeep Engineering Co.,RNGE,Small Utility Vehicle,2.4,4,A9,X,10.8,7.8,9.5,30,222,medium
Bauer Machinery Works,50_E,Mid-Sized Utility Machines,4.4,8,A8,Z,14.4,9.6,12.2,23,281,high
Buick Heavy Industries,ECRX,Small Utility Vehicle,1.2,3,AV,X,9.0,7.7,8.4,34,198,low
Ford Industrial Corp.,MSAG,Subcompact Utility Machinery,2.3,4,M6,X,10.6,7.6,9.2,31,217,medium
Maserat Engineering Ltd.,GILI,Mid-Sized Utility Machines,3.0,6,AS8,Z,15.2,9.6,12.7,22,292,high
Lexus Engineering,G_60,Standard Utility Vehicle,4.6,8,AS6,Z,16.0,12.9,14.6,19,341,high
Volkswaren Machine Systems,GL_),Small-Scale Transport Machinery,2.0,4,A6,D,8.1,6.4,7.4,38,198,low
Bauer Machinery Works,20_E,Subcompact Utility Machinery,2.0,4,M6,Z,11.1,7.3,9.4,30,219,medium
Jeep Engineering Co.,GAD4,Standard Utility Vehicle,3.0,6,A8,D,11.2,8.5,10.0,28,268,high
Chevrolet Engineering Works,CLRD,Light-Duty Transport Machinery,2.8,4,A6,D,12.5,10.7,11.7,24,315,high
Chrysler Engineering,2000,Mid-Sized Utility Machines,2.4,4,A9,X,10.2,6.4,8.5,33,196,low
Mazda Manufacturing Corp.,MZA),Compact Utility Equipment,2.0,4,M6,X,8.5,6.2,7.5,38,175,low
Aston Martin Technologies,VNAT,Small-Scale Operator Machinery,4.7,8,M6,Z,18.1,12.3,15.5,18,362,high
Mercedes Industrial Solutions,AGGC,Standard Utility Vehicle,5.5,8,AS7,Z,17.3,13.5,15.6,18,366,high
Chrysler Engineering,30FV,Heavy-Duty Utility Machinery,3.6,6,A8,E,16.8,10.3,13.9,20,229,medium
Dodge Equipment Ltd.,AEGR,Mid-Sized Utility Machines,2.4,4,A6,X,12.0,7.6,10.0,28,230,medium
General Manufacturing Corporation,YKND,Standard Utility Vehicle,6.2,8,A8,Z,16.4,11.7,14.3,20,334,high
General Manufacturing Corporation,YKNV,Standard Utility Vehicle,5.3,8,A6,E,22.1,15.4,19.1,15,317,high
Volvo Industrial Solutions,X9_D,Standard Utility Vehicle,2.0,4,AS8,Z,11.5,9.6,10.6,27,249,medium
Land Rover Machinery Co.,RNED,Standard Utility Vehicle,5.0,8,AS8,E,25.0,16.9,21.4,13,342,high
Honda Heavy Industries,C-VV,Small Utility Vehicle,2.4,4,A5,X,10.3,7.6,9.1,31,209,medium
Infiniti Machine Works,Q0AT,Mid-Sized Utility Machines,3.0,6,AS7,Z,12.5,9.3,11.1,25,261,high
Cadillac Engineering Solutions,XSVD,Heavy-Duty Utility Machinery,3.6,6,AS6,Z,15.0,10.2,12.8,22,302,high
Subaru Heavy Machinery,IPED,Mid-Sized Utility Machines,2.0,4,AV7,X,8.3,6.4,7.5,38,174,low
Jaguar Industrial Machines,XLSD,Heavy-Duty Utility Machinery,5.0,8,AS8,E,20.6,13.6,17.5,16,280,high
Mercedes Industrial Solutions,SSAR,Small-Scale Operator Machinery,6.2,8,AS7,Z,18.2,12.6,15.7,18,361,high
Ford Industrial Corp.,F104,Standard Transport Machinery,5.0,8,AS10,X,15.1,11.0,13.3,21,311,high
Ford Industrial Corp.,T10N,Passenger Transport Equipment,3.7,6,AS6,X,16.9,13.1,15.2,19,355,high
Chevrolet Engineering Works,SNCS,Compact Utility Equipment,1.4,4,M6,X,8.9,7.0,8.0,35,189,low
Bauer Machinery Works,50_N,Mid-Sized Utility Machines,4.4,8,AS8,Z,14.4,9.7,12.3,23,283,high
Bauer Machinery Works,MM55,Mid-Sized Utility Machines,4.4,8,AS8,Z,16.0,11.2,13.9,20,324,high
Porsche Engineering Works,CYND,Standard Utility Vehicle,3.0,6,A8,Z,11.8,9.9,10.9,26,251,high
Volkswaren Machine Systems,TUR),Standard Utility Vehicle,3.0,6,AS8,D,11.2,8.4,9.8,29,270,high
Bauer Machinery Works,X_DI,Standard Utility Vehicle,3.0,6,AS8,Z,13.0,9.8,11.5,25,270,high
Bauer Machinery Works,M4IE,Subcompact Utility Machinery,3.0,6,M6,Z,12.8,8.8,11.0,26,256,high
Bauer Machinery Works,X_4I,Small Utility Vehicle,3.0,6,AS8,Z,12.9,9.5,11.4,25,266,high
Mini Industrial Tools,COER,Subcompact Utility Machinery,2.0,4,M6,Z,10.2,7.3,8.9,32,210,medium
Bauer Machinery Works,X_DI,Small Utility Vehicle,3.0,6,A6,Z,13.2,8.9,11.3,25,260,high
Buick Heavy Industries,EVSD,Small Utility Vehicle,2.0,4,A6,Z,11.8,9.1,10.6,27,248,medium
Bauer Machinery Works,30II,Compact Utility Equipment,3.0,6,M6,Z,11.6,7.8,9.9,29,231,medium
Honda Heavy Industries,FTTT,Small-Scale Transport Machinery,1.5,4,AV,X,7.0,5.9,6.5,43,151,low
Korea Industrial Apparatus,SDNX,Compact Transport Equipment,3.3,6,AS6,X,12.9,9.5,11.4,25,269,high
Audi Industrial Equipment,SS55,Subcompact Utility Machinery,3.0,6,M6,Z,13.8,9.0,11.7,24,273,high
Bauer Machinery Works,M_AN,Subcompact Utility Machinery,3.0,6,AM7,Z,14.5,10.5,12.7,22,299,high
Dodge Equipment Ltd.,CALT,Mid-Sized Utility Machines,6.2,8,A8,Z,17.6,10.7,14.5,19,339,high
Lexus Engineering,G_5H,Mid-Sized Utility Machines,3.5,6,AV8,Z,8.0,6.9,7.5,38,172,low
Mini Industrial Tools,COER,Subcompact Utility Machinery,1.5,3,M6,Z,8.4,6.3,7.5,38,175,low
Hyundai Manufacturing Solutions,EATA,Mid-Sized Utility Machines,1.8,4,M6,X,8.8,6.4,7.7,37,180,low
Hyundai Manufacturing Solutions,VLSR,Compact Utility Equipment,1.6,4,M6,X,8.8,6.7,7.8,36,186,low
Lincoln Manufacturing,MZAD,Mid-Sized Utility Machines,3.0,6,AS6,X,14.0,9.2,11.8,24,278,high
Ford Industrial Corp.,F10),Standard Transport Machinery,3.0,6,AS10,D,10.8,8.4,9.7,29,260,high
General Manufacturing Corporation,TRAN,Small Utility Vehicle,2.4,4,A6,X,10.5,7.3,9.1,31,214,medium
Rolls-Royce Engineering,PATM,Heavy-Duty Utility Machinery,6.7,12,AS8,Z,20.0,11.8,16.3,17,382,high
Jeep Engineering Co.,CEOE,Small Utility Vehicle,2.0,4,A9,X,10.4,7.6,9.1,31,214,medium
Bauer Machinery Works,30II,Compact Utility Equipment,2.0,4,M6,Z,10.4,6.7,8.7,32,200,low
Honda Heavy Industries,CVCE,Compact Utility Equipment,1.5,4,AV7,X,7.8,6.4,7.2,39,167,low
Alfa Machinery Systems,4_PR,Small-Scale Operator Machinery,1.8,4,AM6,Z,9.7,6.9,8.4,34,197,low
Bauer Machinery Works,60_E,Compact Utility Equipment,4.4,8,AS8,Z,14.4,9.7,12.3,23,283,high
Mercedes Industrial Solutions,AGST,Compact Utility Equipment,5.5,8,AS7,Z,16.4,10.6,13.8,20,322,high
Korea Industrial Apparatus,SDNA,Compact Transport Equipment,3.3,6,AS6,X,13.2,9.7,11.6,24,275,high
Chevrolet Engineering Works,SNCC,Compact Utility Equipment,1.4,4,M6,X,8.4,6.3,7.4,38,174,low
Cadillac Engineering Solutions,XSSS,Heavy-Duty Utility Machinery,3.6,6,AS6,X,12.9,8.7,11.0,26,259,high
Chevrolet Engineering Works,CMRS,Subcompact Utility Machinery,6.2,8,AS10,Z,14.6,8.9,12.1,23,282,high
Ram Industrial Equipment,10_E,Standard Transport Machinery,5.7,8,A8,X,14.3,11.1,12.9,22,302,high
Nissan Machinery Ltd.,JKEE,Small-Scale Transport Machinery,1.6,4,M6,Z,8.5,6.9,7.8,36,183,low
Ford Industrial Corp.,EPOV,Standard Utility Vehicle,3.5,6,AS6,E,18.6,13.0,16.1,18,258,high
